Date/Time,State,Command
2016.08.30 22:07:09,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:07:09,Receive,#                1500VA     V6.7      
2016.08.30 22:07:08,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:08,Receive,*237.0 000.0 240.0 000 50.0 26.0 29.0 00001000
2016.08.30 22:07:07,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:07:07,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:07:06,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:06,Receive,(237.0 000.0 239.0 000 50.0 26.0 29.0 00001000
2016.08.30 22:07:05,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:05,Receive,
2016.08.30 22:07:04,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:04,Receive,(185.0 000.0 229.0 000 54.0 25.4 29.0 10001000
2016.08.30 22:07:03,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:07:03,Receive,#                1500VA     V6.7      
2016.08.30 22:07:02,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:02,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:07:01,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:07:01,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:07:00,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:07:00,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:06:59,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:59,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:06:58,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:58,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:06:57,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:57,Receive,#                1500VA     V6.7      
2016.08.30 22:06:56,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:56,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:06:55,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:55,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:54,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:54,Receive,(000.0 000.0 229.0 000 00.0 25.4 29.0 10001000
2016.08.30 22:06:53,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:53,Receive,(000.0 000.0 229.0 000 00.0 25.6 29.0 10001000
2016.08.30 22:06:52,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:52,Receive,(000.0 000.0 229.0 000 00.0 25.6 29.0 10001000
2016.08.30 22:06:51,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:06:51,Receive,#                1500VA     V6.7      
2016.08.30 22:06:50,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:50,Receive,(000.0 000.0 229.0 000 00.0 25.6 29.0 10001000
2016.08.30 22:06:49,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:06:49,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:06:48,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:48,Receive,(000.0 000.0 229.0 000 00.0 25.6 29.0 10001000
2016.08.30 22:06:47,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:47,Receive,(000.0 000.0 229.0 000 00.0 25.6 29.0 10001000
2016.08.30 22:06:46,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:06:46,Receive,(203.0 000.0 229.0 000 82.7 26.0 29.0 10001000
