Date/Time,State,Command
2016.11.03 18:22:01,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:22:01,Receive,(237.0 000.0 239.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:22:00,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:22:00,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:59,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:59,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:58,Send,80 06 0c 03 09 04 00 66 
2016.11.03 18:21:58,Receive,#                1500VA     V6.7      
2016.11.03 18:21:57,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:57,Receive,(237.0 000.0 239.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:56,Send,80 06 0d 03 09 04 00 66 
2016.11.03 18:21:56,Receive,#230.0 3.9 24.00 50.0
2016.11.03 18:21:55,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:55,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:54,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:54,Receive,(237.0 000.0 239.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:53,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:53,Receive,(237.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:52,Send,80 06 0c 03 09 04 00 66 
2016.11.03 18:21:52,Receive,#                1500VA     V6.7      
2016.11.03 18:21:51,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:51,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:50,Send,80 06 0d 03 09 04 00 66 
2016.11.03 18:21:50,Receive,#230.0 3.9 24.00 50.0
2016.11.03 18:21:49,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:49,Receive,(237.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:48,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:48,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:47,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:47,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:46,Send,80 06 0c 03 09 04 00 66 
2016.11.03 18:21:46,Receive,#                1500VA     V6.7      
2016.11.03 18:21:45,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:45,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:44,Send,80 06 0d 03 09 04 00 66 
2016.11.03 18:21:44,Receive,#230.0 3.9 24.00 50.0
2016.11.03 18:21:43,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:43,Receive,(240.0 000.0 239.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:42,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:42,Receive,(240.0 000.0 242.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:41,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:41,Receive,(239.0 000.0 240.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:40,Send,80 06 0c 03 09 04 00 66 
2016.11.03 18:21:40,Receive,#                1500VA     V6.7      
2016.11.03 18:21:39,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:39,Receive,(237.0 000.0 239.0 000 50.0 27.4 29.0 00001000
2016.11.03 18:21:38,Send,80 06 0d 03 09 04 00 66 
2016.11.03 18:21:38,Receive,#230.0 3.9 24.00 50.0
2016.11.03 18:21:37,Send,80 06 03 03 09 04 00 66 
2016.11.03 18:21:37,Receive,(239.0 000.0 242.0 000 50.0 27.2 29.0 00001000
